tahun,latitude,longitude,nama_provinsi,nama_kabupaten_kota,nama_kelurahan,nama_kecamatan,jumlaluas_wilayah,jumlah_kepadatanjiwakm2
2017,-6.199424,106.841338,PROVINSI DKI JAKARTA,JAKARTA PUSAT,menteng,MENTENG,2.44,12996.88
2017,-6.184158,106.829419,PROVINSI DKI JAKARTA,JAKARTA PUSAT,kebon sirih,MENTENG,0.83,19182.25
2017,-6.190339,106.834598,PROVINSI DKI JAKARTA,JAKARTA PUSAT,gondangdia,MENTENG,1.46,3491.98
2017,-6.203824,106.844943,PROVINSI DKI JAKARTA,JAKARTA PUSAT,menteng,MENTENG,2.44,12996.88
NA,-6.204021,106.850397,NA,NA,pegangsaan  ,NA,NA,NA
2017,-6.188992,106.839372,PROVINSI DKI JAKARTA,JAKARTA PUSAT,cikini,MENTENG,0.82,12533.8
2017,-6.199643,106.814722,PROVINSI DKI JAKARTA,JAKARTA PUSAT,kebon melati,TANAH ABANG,1.26,32813.2
2017,-6.184303,106.817861,PROVINSI DKI JAKARTA,JAKARTA PUSAT,kampung bali,TANAH ABANG,0.73,20395.1
2017,-6.190918,106.814796,PROVINSI DKI JAKARTA,JAKARTA PUSAT,kebon kacang,TANAH ABANG,0.71,37898.59
2017,-6.191275,106.812685,PROVINSI DKI JAKARTA,JAKARTA PUSAT,kebon melati,TANAH ABANG,1.26,32813.2
2017,-6.212139,106.815364,PROVINSI DKI JAKARTA,JAKARTA PUSAT,karet tengsin,TANAH ABANG,1.53,1538.3
2017,-6.20224,106.806677,PROVINSI DKI JAKARTA,JAKARTA PUSAT,bendungan hilir,TANAH ABANG,1.58,17003.3
2017,-6.193051,106.807929,PROVINSI DKI JAKARTA,JAKARTA PUSAT,petamburan,TANAH ABANG,0.9,47053.27
2017,-6.213956,106.798202,PROVINSI DKI JAKARTA,JAKARTA PUSAT,gelora,TANAH ABANG,2.59,1585.3
2017,-6.178947,106.856909,PROVINSI DKI JAKARTA,JAKARTA PUSAT,johar baru,JOHAR BARU,1.19,38193.12
2017,-6.183287,106.856429,PROVINSI DKI JAKARTA,JAKARTA PUSAT,johar baru,JOHAR BARU,1.19,38193.12
2017,-6.176375,106.856039,PROVINSI DKI JAKARTA,JAKARTA PUSAT,galur,JOHAR BARU,0.26,87935.11
2017,-6.183925,106.849222,PROVINSI DKI JAKARTA,JAKARTA PUSAT,tanah tinggi,JOHAR BARU,0.62,76118.16
2017,-6.181025,106.858917,PROVINSI DKI JAKARTA,JAKARTA PUSAT,kampung rawa,JOHAR BARU,0.3,90292.26
2017,-6.248021,106.807372,PROVINSI DKI JAKARTA,JAKARTA SELATAN,petogogan,KEBAYORAN BARU,0.86,1575.64
NA,-6.208303,106.824064,NA,NA,setiabudi,NA,NA,NA
2017,-6.207128,106.833992,PROVINSI DKI JAKARTA,JAKARTA SELATAN,guntur,SETIA BUDI,0.66,7004.85
NA,-6.208306,106.823895,NA,NA,setiabudi,NA,NA,NA
2017,-6.221831,106.83863,PROVINSI DKI JAKARTA,JAKARTA SELATAN,menteng atas,SETIA BUDI,0.9,36179.2
2017,-6.218649,106.824995,PROVINSI DKI JAKARTA,JAKARTA SELATAN,karet kuningan,SETIA BUDI,1.79,10468.98
2017,-6.209991,106.842042,PROVINSI DKI JAKARTA,JAKARTA SELATAN,pasar manggis,SETIA BUDI,0.78,40726.92
2017,-6.231713,106.825537,PROVINSI DKI JAKARTA,JAKARTA SELATAN,kuningan timur,SETIA BUDI,2.15,33.42
NA,-6.210916,106.825974,NA,NA,karet  ,NA,NA,NA
2017,-6.225741,106.821197,PROVINSI DKI JAKARTA,JAKARTA SELATAN,karet semanggi,SETIA BUDI,0.9,3383.45
2017,-6.231552,106.845882,PROVINSI DKI JAKARTA,JAKARTA SELATAN,tebet barat,TEBET,1.72,14333.33
NA,-6.217604,106.851555,NA,NA,manggarai  ,NA,NA,NA
2017,-6.232367,106.859392,PROVINSI DKI JAKARTA,JAKARTA SELATAN,kebon baru,TEBET,1.29,32351.3
2017,-6.234671,106.836639,PROVINSI DKI JAKARTA,JAKARTA SELATAN,menteng dalam,TEBET,2.1,20403.81
2017,-6.233082,106.848548,PROVINSI DKI JAKARTA,JAKARTA SELATAN,tebet barat,TEBET,1.72,14333.33
2017,-6.217682,106.847115,PROVINSI DKI JAKARTA,JAKARTA SELATAN,manggarai selatan,TEBET,0.51,52979.96
2017,-6.228593,106.858,PROVINSI DKI JAKARTA,JAKARTA SELATAN,tebet timur,TEBET,1.39,15143.27
2017,-6.224226,106.861295,PROVINSI DKI JAKARTA,JAKARTA SELATAN,bukit duri,TEBET,1.07,38779.55
2017,-6.248719,106.86007,PROVINSI DKI JAKARTA,JAKARTA SELATAN,pengadegan,PANCORAN,0.94,25415.69
NA,-6.260247,106.852472,NA,NA,rawajati,NA,NA,NA
2017,-6.248645,106.840984,PROVINSI DKI JAKARTA,JAKARTA SELATAN,pancoran,PANCORAN,1.22,18322.66
2017,-6.246327,106.852776,PROVINSI DKI JAKARTA,JAKARTA SELATAN,cikoko,PANCORAN,0.72,17652.39
2017,-6.25416,106.836715,PROVINSI DKI JAKARTA,JAKARTA SELATAN,duren tiga,PANCORAN,1.92,16882.2
2017,-6.250877,106.861189,PROVINSI DKI JAKARTA,JAKARTA SELATAN,pengadegan,PANCORAN,0.94,25415.69
2017,-6.262333,106.847113,PROVINSI DKI JAKARTA,JAKARTA SELATAN,kalibata,PANCORAN,2.29,21174.98
2017,-6.251473,106.824602,PROVINSI DKI JAKARTA,JAKARTA SELATAN,tegal parang,MAMPANG PRAPATAN,1.06,36156.25
2017,-6.259325,106.825994,PROVINSI DKI JAKARTA,JAKARTA SELATAN,bangka,MAMPANG PRAPATAN,3.3,7657.66
2017,-6.244954,106.828872,PROVINSI DKI JAKARTA,JAKARTA SELATAN,mampang prapatan,MAMPANG PRAPATAN,0.78,28114.54
2017,-6.252959,106.811305,PROVINSI DKI JAKARTA,JAKARTA SELATAN,pela mampang,MAMPANG PRAPATAN,1.62,31622.72
2017,-6.236647,106.820641,PROVINSI DKI JAKARTA,JAKARTA SELATAN,kuningan barat,MAMPANG PRAPATAN,0.98,1564.8
2017,-6.249551,106.83353,PROVINSI DKI JAKARTA,JAKARTA SELATAN,tegal parang,MAMPANG PRAPATAN,1.06,36156.25
NA,-6.249492,106.778543,NA,NA,keb. lama selatan,NA,NA,NA
NA,-6.246255,106.78318,NA,NA,keb. lama selatan,NA,NA,NA
